"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 16 17:40:33 IST 2022","Wed Nov 16 17:40:34 IST 2022","240","","Assertions Explicit Assertions","","Assertions Explicit Assertions","can throw any error","can throw any error",""
"passed","Wed Nov 16 17:41:42 IST 2022","Wed Nov 16 17:41:45 IST 2022","2529","","Misc Cypress.Screenshot","","Misc Cypress.Screenshot","cy.screenshot() - take a screenshot","cy.screenshot() - take a screenshot",""
"passed","Wed Nov 16 17:42:08 IST 2022","Wed Nov 16 17:42:09 IST 2022","1251","","Network Requests","","Network Requests","cy.request() - verify response using BDD syntax","cy.request() - verify response using BDD syntax",""
"passed","Wed Nov 16 17:40:50 IST 2022","Wed Nov 16 17:40:50 IST 2022","246","","Connectors .then()","","Connectors .then()","yields the value yielded by the last Cypress command inside","yields the value yielded by the last Cypress command inside",""
"passed","Wed Nov 16 17:42:24 IST 2022","Wed Nov 16 17:42:24 IST 2022","237","","Querying","","Querying","cy.root() - query the root DOM element","cy.root() - query the root DOM element",""
"passed","Wed Nov 16 17:41:57 IST 2022","Wed Nov 16 17:41:58 IST 2022","1026","","Navigation","","Navigation","cy.reload() - reload the page","cy.reload() - reload the page",""
"passed","Wed Nov 16 17:40:09 IST 2022","Wed Nov 16 17:40:09 IST 2022","336","","Actions","","Actions",".trigger() - trigger an event on a DOM element",".trigger() - trigger an event on a DOM element",""
"passed","Wed Nov 16 17:41:32 IST 2022","Wed Nov 16 17:41:34 IST 2022","2028","","Location","","Location","cy.hash() - get the current URL hash","cy.hash() - get the current URL hash",""
"failed","Wed Nov 16 17:40:59 IST 2022","Wed Nov 16 17:41:00 IST 2022","826","","Cookies","","Cookies","cy.getCookies() - get browser cookies","cy.getCookies() - get browser cookies",""
"passed","Wed Nov 16 17:43:08 IST 2022","Wed Nov 16 17:43:08 IST 2022","327","","Utilities","","Utilities","Cypress.$ - call a jQuery method","Cypress.$ - call a jQuery method",""
"passed","Wed Nov 16 17:42:55 IST 2022","Wed Nov 16 17:42:55 IST 2022","257","","Traversal","","Traversal",".prevAll() - get all previous sibling DOM elements",".prevAll() - get all previous sibling DOM elements",""
"passed","Wed Nov 16 17:41:58 IST 2022","Wed Nov 16 17:41:59 IST 2022","839","","Navigation","","Navigation","cy.visit() - visit a remote url","cy.visit() - visit a remote url",""
"failed","Wed Nov 16 17:40:44 IST 2022","Wed Nov 16 17:40:49 IST 2022","4669","","Connectors","","Connectors",".invoke() - invoke a function on the current subject",".invoke() - invoke a function on the current subject",""
"passed","Wed Nov 16 17:40:07 IST 2022","Wed Nov 16 17:40:09 IST 2022","1265","","Actions","","Actions",".select() - select an option in a <select> element",".select() - select an option in a <select> element",""
"passed","Wed Nov 16 17:41:41 IST 2022","Wed Nov 16 17:41:42 IST 2022","866","","Misc","","Misc","cy.exec() - execute a system command","cy.exec() - execute a system command",""
"passed","Wed Nov 16 17:40:49 IST 2022","Wed Nov 16 17:40:50 IST 2022","232","","Connectors .then()","","Connectors .then()","yields the returned value to the next command","yields the returned value to the next command",""
"passed","Wed Nov 16 17:43:36 IST 2022","Wed Nov 16 17:43:38 IST 2022","1970","","Window","","Window","cy.document() - get the document object","cy.document() - get the document object",""
"passed","Wed Nov 16 17:43:12 IST 2022","Wed Nov 16 17:43:17 IST 2022","4353","","Viewport","","Viewport","cy.viewport() - set the viewport size and dimension","cy.viewport() - set the viewport size and dimension",""
"unknown","Wed Nov 16 17:43:36 IST 2022","Thu Jan 01 05:30:00 IST 1970","-1668600816481","","Window","","Window","cy.window() - get the global window object","cy.window() - get the global window object",""
"passed","Wed Nov 16 17:42:24 IST 2022","Wed Nov 16 17:42:25 IST 2022","1100","","Querying","","Querying","best practices - selecting elements","best practices - selecting elements",""
"passed","Wed Nov 16 17:42:13 IST 2022","Wed Nov 16 17:42:16 IST 2022","2864","","Network Requests","","Network Requests","cy.intercept() - route responses to matching requests","cy.intercept() - route responses to matching requests",""
"passed","Wed Nov 16 17:40:09 IST 2022","Wed Nov 16 17:40:12 IST 2022","2250","","Actions","","Actions","cy.scrollTo() - scroll the window or element to a position","cy.scrollTo() - scroll the window or element to a position",""
"unknown","Wed Nov 16 17:41:42 IST 2022","Thu Jan 01 05:30:00 IST 1970","-1668600702341","","Misc","","Misc","cy.focused() - get the DOM element that has focus","cy.focused() - get the DOM element that has focus",""
"passed","Wed Nov 16 17:43:29 IST 2022","Wed Nov 16 17:43:30 IST 2022","1383","","Waiting","","Waiting","cy.wait() - wait for a specific route","cy.wait() - wait for a specific route",""
